Noise,Depth6,Depth2
0.0,1.0,1.0
0.01,0.8512271676825772,0.8981805592752817
0.02,0.7230014374485274,0.8055505042283373
0.03,0.612709757330938,0.721389578984522
0.04,0.5180420626781336,0.6450252007889459
0.05,0.4369596344460743,0.5758299014424028
0.08,0.2583226407645873,0.4056096832247774
0.1,0.17956641783728688,0.31828542078372346
